issue,count,examples
textualProduction.discussedReligion:not_list,16,"[{""reference"": ""421"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Libri VII in epistolas canonicas&', 'meta': {'titles': ['Libri VII in epistolas canonicas']}}], 'dateAnd""}, {""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champs religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Compendium in libros I-IV Sent.&', 'meta': {'titles': ['Compendium in libros I-IV Sent.']}}], 'dateA""}, {""reference"": ""16800"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvres incertaines dans le champs religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Super epistolas et evangelia totius anni collationes&', 'meta': {'titles': ['Super epistolas et ""}, {""reference"": ""1101"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres refusées dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Tractatus confessionalis&', 'meta': {'titles': ['Tractatus confessionalis']}}], 'dateAndPlace': [{'va""}, {""reference"": ""497"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvres dont l’attribution est refusée dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Moralia super evangelia lib. quatuor&', 'meta': {'titles': ['Moralia super eva""}]"
textualProduction.discussedScience:not_list,8,"[{""reference"": ""421"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&Commentaria super tabulas Alphonsi Regis ad judicia astronomiae&', 'meta': {'titles': ['Commentaria s""}, {""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&De mixtione elementorum&', 'meta': {'titles': ['De mixtione elementorum']}}], 'dateAndPlace': [{'v""}, {""reference"": ""487"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&Libellus de algorismo&', 'meta': {'titles': ['Libellus de algorismo']}}], 'dateAndPlace': [{'value""}, {""reference"": ""16804"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres dans le champ scientifique dont on considère aujourd’hui qu’$Arnau de VILANOVA$ n’est pas l’auteur :', 'meta': {'names': ['Arnau de VILANOVA']}, 'opus': [{'title': [{'value': '&Novum""}, {""reference"": ""385"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvre dans le champ scientifique dont l’authenticité n’est pas reconnue :', 'meta': {}, 'opus': [{'title': [{'value': '&Speculum astronomiae&', 'meta': {'titles': ['Speculum astronomiae']}}""}]"
textualProduction.discussedHistory:not_list,6,"[{""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans les champs historique et politique :', 'meta': {}, 'opus': [{'title': [{'value': '&Questio in utramque partem&', 'meta': {'titles': ['Questio in utramque partem']}}], '""}, {""reference"": ""482"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres incertaines dans le champ politique :', 'meta': {}, 'opus': [{'title': [{'value': '&Tractatus de usura&', 'meta': {'titles': ['Tractatus de usura']}}], 'dateAndPlace': [{'value': '?'""}, {""reference"": ""1101"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvre faussement attribuée dans le champ historique :', 'meta': {}, 'opus': [{'title': [{'value': '&De origine, de translatione ac statu romani imperii...&', 'meta': {'titles': ['De origine""}, {""reference"": ""487"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ musical :', 'meta': {}, 'opus': [{'title': [{'value': '&Carmen de musica cum glossis&', 'meta': {'titles': ['Carmen de musica cum glossis']}}], 'dateAndPlace':""}, {""reference"": ""476"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ historique :', 'meta': {}, 'opus': [{'title': [{'value': '&Mariale majus&', 'meta': {'titles': ['Mariale majus']}}], 'dateAndPlace': [{'value': '?', 'meta': {}""}]"
textualProduction.discussedPhilosophy:not_list,5,"[{""reference"": ""421"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Expositio textus libri Priorum&', 'meta': {'titles': ['Expositio textus libri Priorum']}}], 'dateAnd""}, {""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Quaestiones philosophicae&', 'meta': {'titles': ['Quaestiones philosophicae']}}], 'dateAndPlace':""}, {""reference"": ""482"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres incertaines dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Metaphysicae Distinctiones&', 'meta': {'titles': ['Metaphysicae Distinctiones']}, 'comment': [""}, {""reference"": ""810"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Questiones de anima&', 'meta': {'titles': ['Questiones de anima']}, 'comment': [\""\\t/Oeuvre de $Jean ""}, {""reference"": ""535"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvres attribuées sans fondements dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&De separatione primi principii&', 'meta': {'titles': ['De separatione primi pr""}]"
textualProduction.music:not_list,5,"[{""reference"": ""117"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ musical :', 'meta': {}, 'opus': [{'title': [{'value': '&Li rondel&', 'meta': {'titles': ['Li rondel']}}], 'dateAndPlace': [{'value': '%1283%', 'meta': {'dates': [""}, {""reference"": ""520"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ musical :', 'meta': {}, 'opus': [{'title': [{'value': '&Practica artis musicae&', 'meta': {'titles': ['Practica artis musicae']}}], 'dateAndPlace': [{'value': '%1""}, {""reference"": ""1132"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ musical :', 'meta': {}, 'opus': [{'title': [{'value': '&Tractatulus de differentiis et generibus cantorum a Magistro Arnulpho de Sancto Gilleno editus&', 'meta': ""}, {""reference"": ""50002"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ musical ;', 'meta': {}, 'opus': [{'title': [{'value': \""&(Hymnes de l'office de Saint DOMNIO)&\"", 'meta': {'titles': [\""(Hymnes de l'office de Saint DOMNIO)\""]}}], 'd""}, {""reference"": ""172"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ musical :', 'meta': {}, 'opus': [{'title': [{'value': '&Tractatus de laude et utilitate musicae&', 'meta': {'titles': ['Tractatus de laude et utilitate musicae']}""}]"
textualProduction.discussedJustice:not_list,3,"[{""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&Tractatus de sponsalibus&', 'meta': {'titles': ['Tractatus de sponsalibus']}}], 'dateAndPlace': [{'value""}, {""reference"": ""749"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvre attribuée à tort dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&Lectura super libros Institutionum Justiniani&', 'meta': {'titles': ['Lectura super libros Ins""}, {""reference"": ""476"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&Concordia utriusque juris&', 'meta': {'titles': ['Concordia utriusque juris']}}], 'dateAndPlace': [{'""}]"
textualProduction.discussedMedicine:not_list,2,"[{""reference"": ""134"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur non actif dans le champ médical :', 'meta': {}, 'opus': [{'title': [{'value': '&Glossae in Hippocratis Aphorismos&', 'meta': {'titles': ['Glossae in Hippocratis Aphorismos']}, 'refer""}, {""reference"": ""16804"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres dans le champ médical dont on considère aujourd’hui qu’$Arnau de VILANOVA$ n’est pas l’auteur :', 'meta': {'names': ['Arnau de VILANOVA']}, 'opus': [{'title': [{'value': '&Tractatus ""}]"
textualProduction.discussedPhilosophyExtended:not_list,2,"[{""reference"": ""497"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvre refusée dans le champ philologique ou rhétoriue ;', 'meta': {}, 'opus': [{'title': [{'value': '&(Allegoriae poeticae seu de veritate ac expositione poeticarum fabularum libri quatuor""}, {""reference"": ""1044"", ""type"": ""dict"", ""preview"": ""{'value': \""Il n'est probablement pas l'auteur d'un traité qui lui est parfois attribué :\"", 'meta': {}, 'opus': [{'title': [{'value': '&Ars praedicandi&', 'meta': {'titles': ['Ars praedicandi']}}], 'da""}]"
textualProduction.discussedPolitical:not_list,1,"[{""reference"": ""833"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ politique :', 'meta': {}, 'opus': [{'title': [{'value': '&In librum Ethicorum&', 'meta': {'titles': ['In librum Ethicorum']}}], 'dateAndPlace': [{'value': '?', 'm""}]"
textualProduction.discussedPratical:not_list,1,"[{""reference"": ""21664"", ""type"": ""dict"", ""preview"": ""{'value': 'Documents de la pratique :', 'meta': {}, 'opus': [{'title': [{'value': '&(Lettre sur le droit des Frères à entendre la confession)&', 'meta': {'titles': ['(Lettre sur le droit des Frères à ""}]"
