path,count,coverage,types
ecclesiasticalCareer.secularPosition[].reference[],6696,0.33232418482306814,"{'list': 16529, 'str': 17806}"
bibliography.bookReferences[],6678,0.3314308402402104,"{'list': 6678, 'dict': 19910}"
bibliography.bookReferences[].meta,6678,0.3314308402402104,{'dict': 19910}
bibliography.bookReferences[].value,6678,0.3314308402402104,{'str': 19910}
curriculum.university[].meta.dates[].date,6574,0.326269293761477,"{'int': 6954, 'NoneType': 2}"
curriculum.university[].meta.institutions[],6531,0.32413519281353914,"{'list': 6564, 'str': 6580}"
bibliography.bookReferences[].meta.titles[],6474,0.3213062683011564,"{'list': 19462, 'str': 21070}"
relationalInsertion,6257,0.31053650305226066,{'dict': 6257}
curriculum.university[].meta.dates[].endDate,6150,0.3052260658097176,"{'dict': 6387, 'NoneType': 16}"
curriculum.university[].meta.dates[].startDate,6150,0.3052260658097176,"{'dict': 6402, 'NoneType': 1}"
curriculum.university[].meta.dates[].startDate.date,6150,0.3052260658097176,{'int': 6402}
curriculum.university[].meta.dates[].startDate.type,6150,0.3052260658097176,{'str': 6402}
curriculum.university[].meta.dates[].endDate.date,6138,0.3046305027544791,{'int': 6387}
curriculum.university[].meta.dates[].endDate.type,6138,0.3046305027544791,{'str': 6387}
origin.diocese[].reference[],5255,0.26080698793984813,"{'list': 5294, 'str': 5401}"
ecclesiasticalCareer.secularPosition[].meta.dates[].date,5031,0.24968981090872996,"{'int': 9483, 'NoneType': 1}"
professionalCareer.universityFunction[],4535,0.22507320462553973,"{'list': 4535, 'dict': 9203}"
professionalCareer.universityFunction[].meta,4535,0.22507320462553973,{'dict': 9203}
professionalCareer.universityFunction[].value,4535,0.22507320462553973,{'str': 9203}
professionalCareer.universityFunction[].meta.places[],4356,0.21618938905156584,"{'list': 8787, 'str': 9218}"
professionalCareer.universityFunction[].meta.dates[],4130,0.20497295151124126,"{'list': 8414, 'dict': 8799}"
professionalCareer.universityFunction[].meta.dates[].type,4118,0.20437738845600278,{'str': 8799}
curriculum.universityCollege[],4093,0.20313663209092261,"{'list': 4093, 'dict': 4993}"
curriculum.universityCollege[].meta,4093,0.20313663209092261,{'dict': 4993}
curriculum.universityCollege[].value,4093,0.20313663209092261,{'str': 4993}
professionalCareer.universityFunction[].reference[],3703,0.18378083279567226,"{'list': 7443, 'str': 9120}"
professionalCareer.universityFunction[].meta.institutions[],3677,0.1824904461759889,"{'list': 7165, 'str': 10073}"
curriculum.universityCollege[].meta.institutions[],3650,0.18115042930170233,"{'list': 4428, 'str': 4528}"
ecclesiasticalCareer.ecclesiasticalStatus[],3583,0.17782520224328752,"{'list': 3583, 'dict': 3865}"
ecclesiasticalCareer.ecclesiasticalStatus[].meta,3583,0.17782520224328752,{'dict': 3865}
ecclesiasticalCareer.ecclesiasticalStatus[].value,3583,0.17782520224328752,{'str': 3865}
ecclesiasticalCareer.secularPosition[].meta.dates[].endDate,3574,0.17737852995185865,"{'dict': 7273, 'NoneType': 571}"
ecclesiasticalCareer.secularPosition[].meta.dates[].startDate,3574,0.17737852995185865,"{'dict': 7838, 'NoneType': 6}"
ecclesiasticalCareer.secularPosition[].meta.dates[].startDate.date,3571,0.17722963918804904,"{'int': 7837, 'NoneType': 1}"
ecclesiasticalCareer.secularPosition[].meta.dates[].startDate.type,3571,0.17722963918804904,{'str': 7838}
ecclesiasticalCareer.secularPosition[].meta.dates[].endDate.date,3529,0.17514516849471437,"{'int': 7272, 'NoneType': 1}"
ecclesiasticalCareer.secularPosition[].meta.dates[].endDate.type,3529,0.17514516849471437,{'str': 7273}
identity.datesOfLife[],3508,0.17410293314804706,"{'list': 3508, 'dict': 3520}"
identity.datesOfLife[].meta,3508,0.17410293314804706,{'dict': 3520}
identity.datesOfLife[].value,3508,0.17410293314804706,{'str': 3520}
identity.datesOfLife[].meta.dates[],3507,0.17405330289344384,"{'list': 3513, 'dict': 647}"
professionalCareer.universityFunction[].meta.dates[].date,3373,0.1674028487766142,"{'int': 6908, 'NoneType': 2}"
curriculum.university[].reference[],3173,0.157476797855973,"{'list': 3331, 'str': 3745}"
ecclesiasticalCareer.ecclesiasticalStatus[].reference[],2900,0.14392773834929773,"{'list': 3127, 'str': 3265}"
ecclesiasticalCareer.regularOrder[],2881,0.1429847635118368,"{'list': 2881, 'dict': 2970}"
ecclesiasticalCareer.regularOrder[].meta,2881,0.1429847635118368,{'dict': 2970}
ecclesiasticalCareer.regularOrder[].value,2881,0.1429847635118368,{'str': 2970}
curriculum.university[].comment[],2873,0.14258772147501117,"{'list': 2950, 'str': 3041}"
curriculum.universityCollege[].meta.dates[],2651,0.13156980495309942,"{'list': 3300, 'dict': 3370}"
curriculum.universityCollege[].meta.dates[].type,2643,0.13117276291627375,{'str': 3370}
relationalInsertion.familyNetwork[],2643,0.13117276291627375,"{'list': 2643, 'dict': 5516}"
relationalInsertion.familyNetwork[].meta,2643,0.13117276291627375,{'dict': 5516}
relationalInsertion.familyNetwork[].value,2643,0.13117276291627375,{'str': 5516}
curriculum.universityCollege[].reference[],2625,0.13027941833341605,"{'list': 3252, 'str': 3973}"
relationalInsertion.familyNetwork[].meta.names[],2558,0.12695419127500124,"{'list': 5398, 'str': 5695}"
bibliography.workSources[],2401,0.11916224130229788,"{'list': 2401, 'dict': 3925}"
bibliography.workSources[].meta,2401,0.11916224130229788,{'dict': 3925}
bibliography.workSources[].value,2401,0.11916224130229788,{'str': 3925}
relationalInsertion.studentProfessorRelationships[],2221,0.11022879547372078,"{'list': 2221, 'dict': 4574}"
relationalInsertion.studentProfessorRelationships[].meta,2221,0.11022879547372078,{'dict': 4574}
relationalInsertion.studentProfessorRelationships[].value,2221,0.11022879547372078,{'str': 4574}
relationalInsertion.studentProfessorRelationships[].meta.names[],2204,0.10938508114546627,"{'list': 4548, 'str': 4685}"
