path,count,coverage,types
relationalInsertion.socialClassOrigin[].value,1956,0.09707677800387116,{'str': 1966}
relationalInsertion.studentProfessorRelationships[].reference[],1820,0.09032706337783512,{'str': 4219}
bibliography.workReferences[].meta.titles[],1809,0.08978113057719986,{'str': 2478}
relationalInsertion.familyNetwork[].reference[],1776,0.08814333217529406,{'str': 3478}
ecclesiasticalCareer.secularPosition[].meta.names[],1739,0.08630701275497543,{'str': 2135}
curriculum.universityCollege[].meta.dates[].date,1734,0.0860588614819594,"{'int': 2067, 'NoneType': 2}"
curriculum.universityCollege[].meta.places[],1569,0.0778698694724304,{'str': 1733}
professionalCareer.universityFunction[].comment[],1537,0.0762817013251278,{'str': 2199}
relationalInsertion.studentProfessorRelationships[].meta.dates[].type,1535,0.07618244081592139,{'str': 3573}
ecclesiasticalCareer.secularPosition[].comment[],1519,0.07538835674227008,{'str': 2106}
relationalInsertion.studentProfessorRelationships[].meta.dates[].date,1483,0.07360166757655467,{'int': 3458}
ecclesiasticalCareer.secularPosition[].meta.titles[],1443,0.07161645739242642,{'str': 2033}
relationalInsertion.familyNetwork[].meta.institutions[],1435,0.07121941535560078,{'str': 2523}
professionalCareer.universityFunction[].meta.dates[].startDate.date,1291,0.06407265869273909,{'int': 1887}
professionalCareer.universityFunction[].meta.dates[].startDate.type,1291,0.06407265869273909,{'str': 1887}
professionalCareer.universityFunction[].meta.dates[].endDate.date,1282,0.06362598640131024,{'int': 1873}
professionalCareer.universityFunction[].meta.dates[].endDate.type,1282,0.06362598640131024,{'str': 1873}
ecclesiasticalCareer.regularOrder[].meta.institutions[],1270,0.06303042334607177,{'str': 1666}
curriculum.grades[].meta.dates[].startDate.date,1268,0.06293116283686535,{'int': 1350}
curriculum.grades[].meta.dates[].startDate.type,1268,0.06293116283686535,{'str': 1350}
curriculum.grades[].meta.dates[].endDate.date,1265,0.06278227207305573,{'int': 1347}
curriculum.grades[].meta.dates[].endDate.type,1265,0.06278227207305573,{'str': 1347}
ecclesiasticalCareer.regularFunctions[].value,1257,0.06238523003623009,{'str': 2469}
identity.datesOfLife[].comment[],1254,0.06223633927242047,{'str': 1282}
ecclesiasticalCareer.regularFunctions[].meta.institutions[],1184,0.05876222145019604,{'str': 3019}
curriculum.universityCollege[].comment[],1126,0.055883666683210084,{'str': 1474}
origin.birthPlace[].reference[],1115,0.05533773388257482,{'str': 1200}
curriculum.universityCollege[].meta.dates[].startDate.date,1112,0.0551888431187652,{'int': 1301}
curriculum.universityCollege[].meta.dates[].startDate.type,1112,0.0551888431187652,{'str': 1301}
curriculum.universityCollege[].meta.dates[].endDate.date,1111,0.05513921286416199,{'int': 1299}
curriculum.universityCollege[].meta.dates[].endDate.type,1111,0.05513921286416199,{'str': 1299}
ecclesiasticalCareer.ecclesiasticalStatus[].meta.dates[].type,1100,0.054593280063526727,{'str': 1263}
ecclesiasticalCareer.ecclesiasticalStatus[].meta.dates[].date,1091,0.05414660777209787,{'int': 1248}
assets.parisHousing[].value,1078,0.05350141446225619,{'str': 1110}
ecclesiasticalCareer.regularFunctions[].meta.dates[].type,1071,0.05315400268003375,{'str': 2151}
identity.nameVariant[].comment[],1069,0.05305474217082733,{'str': 1106}
identity.shortDescription[].meta.institutions[],1046,0.051913246314953594,{'str': 1051}
assets.parisHousing[].reference[],1029,0.05106953198669909,{'str': 1182}
ecclesiasticalCareer.regularOrder[].reference[],989,0.04908432180257085,{'str': 1086}
identity.datesOfLife[].reference[],961,0.047694674673681076,{'str': 1216}
textualProduction.religion.opus[].mainTitle,910,0.04516353168891756,{'str': 4916}
textualProduction.religion.opus[].title[].value,910,0.04516353168891756,{'str': 4916}
textualProduction.religion.value,910,0.04516353168891756,{'str': 910}
textualProduction.religion.opus[].title[].meta.titles[],909,0.04511390143431436,{'str': 4935}
