reference,name,link,n_value_strings,chars_raw,chars_clean,has_percent_markup,has_dollar_markup,has_amp_markup
1418,BERNARDUS de Monasterio,/individus/1418-bernardusdemonasterio,11,338,328,1,1,0
53745,BERTRANDUS de Bordis,/individus/53745-bertrandusdebordis,21,576,544,1,1,1
17473,BERNARDUS de Bade,/individus/17473-bernardusdebade,16,426,416,1,1,0
57024,BERNARDUS Massandi,/individus/57024-bernardusmassandi,14,620,600,1,1,1
19062,BONIFACIUS de Ceva,/individus/19062-bonifaciusdeceva,111,4236,4125,1,1,1
15758,BERNARDUS Roberti,/individus/15758-bernardusroberti,13,420,410,1,1,0
50950,BERTRANDUS 2,/individus/50950-bertrandus2,11,255,249,1,1,0
17334,BERNARDUS de Cervaria,/individus/17334-bernardusdecervaria,17,523,513,1,1,0
1144,BALDUINUS de Tila,/individus/1144-balduinusdetila,19,662,644,1,1,0
20485,BOETIUS,/individus/20485-boetius,21,786,752,1,1,1
1351,BERNARDINUS Sansonis,/individus/1351-bernardinussansonis,34,856,823,1,1,1
1373,BERNARDUS Johannis de Haerderwiic,/individus/1373-bernardusjohannisdehaerderwiic,13,418,408,1,1,0
59174,BECHINO de Maante,/individus/59174-bechinodemaante,11,289,283,1,1,0
12492,BERNARDUS de Oratorio,/individus/12492-bernardusdeoratorio,31,1605,1564,1,1,0
17347,BERNARDUS Samorgna,/individus/17347-bernardussamorgna,13,588,576,1,1,0
60714,BALTHASAR de Cordes,/individus/60714-balthasardecordes,25,683,643,1,1,0
1199,BARTHOLOMAEUS de Tours,/individus/1199-bartholomaeusdetours,168,9697,9546,1,1,1
1239,BAUDERICUS Bauderici,/individus/1239-baudericusbauderici,13,493,483,1,1,0
54493,BISANTIUS Poncetus,/individus/54493-bisantiusponcetus,12,281,273,1,1,0
55887,BARTHOLOMAEUS de Boceracuria,/individus/55887-bartholomaeusdeboceracuria,18,594,570,1,1,0
19220,BERTRANDUS de L'Esquerie,/individus/19220-bertrandusdel'esquerie,11,337,329,1,1,1
1160,BALDUINUS de Bailliaco,/individus/1160-balduinusdebailliaco,13,361,351,1,1,0
22148,BALDUINUS de Fossato,/individus/22148-balduinusdefossato,17,543,521,1,1,1
1207,BARTHOLOMAEUS Bertrandi,/individus/1207-bartholomaeusbertrandi,18,625,611,1,1,0
58380,BERENGARIUS Pictaviensis,/individus/58380-berengariuspictaviensis,83,4621,4535,1,1,1
15755,BERNARDUS Claussi,/individus/15755-bernardusclaussi,12,329,321,1,1,0
1292,BERENGARIUS Notariis de Arelate,/individus/1292-berengariusnotariisdearelate,109,4960,4872,1,1,1
17335,BERTRAMMUS Brunonis,/individus/17335-bertrammusbrunonis,15,644,636,1,1,0
17943,BERTRANDUS de Velvise,/individus/17943-bertrandusdevelvise,12,547,537,1,1,1
