reference,name,link,path,type,start_year,end_year,start_len,end_len,start_out_of_bounds,end_out_of_bounds,interval_inverted
52439,PETRUS de Tornodoro,/individus/52439-petrusdetornodoro,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,1378.0,1.0,4.0,1.0,0,1,1
498,ALEXANDER de Abercrumby,/individus/498-alexanderdeabercrumby,relationalInsertion.studentProfessorRelationships[].meta,INTERVAL,344.0,1345.0,3.0,4.0,1,0,0
725,ANDREAS de Hassia de Langensteyn,/individus/725-andreasdehassiadelangensteyn,professionalCareer.universityFunction[].meta,INTERVAL,185.0,1398.0,3.0,4.0,1,0,0
18414,EUSTASIUS Luillier,/individus/18414-eustasiusluillier,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,467.0,1468.0,3.0,4.0,1,0,0
23409,GUILLELMUS Peraldus,/individus/23409-guillelmusperaldus,identity.datesOfLife[].meta,INTERVAL,200.0,1271.0,3.0,4.0,1,0,0
2560,GALFREDUS Foullonis de Mitriaco,/individus/2560-galfredusfoullonisdemitriaco,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,364.0,1376.0,3.0,4.0,1,0,0
60824,HENRICUS Goethals,/individus/60824-henricusgoethals,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,142.0,1433.0,3.0,4.0,1,0,0
25733,RADULPHUS Sapientis,/individus/25733-radulphussapientis,professionalCareer.universityFunction[].meta,INTERVAL,400.0,1403.0,3.0,4.0,1,0,0
17433,FRANCISCUS de Hallewin,/individus/17433-franciscusdehallewin,bibliography.bookReferences[].meta,INTERVAL,28.0,1519.0,2.0,4.0,1,0,0
23959,PHILIPPUS Aymenon,/individus/23959-philippusaymenon,ecclesiasticalCareer.otherFunctions[].meta,INTERVAL,14.0,1424.0,2.0,4.0,1,0,0
21547,PHILIPPUS Aymenon,/individus/21547-philippusaymenon,ecclesiasticalCareer.otherFunctions[].meta,INTERVAL,14.0,1424.0,2.0,4.0,1,0,0
59694,THEODERICUS de Leidis,/individus/59694-theodericusdeleidis,identity.datesOfActivity[].meta,INTERVAL,14.0,1417.0,2.0,4.0,1,0,0
17433,FRANCISCUS de Hallewin,/individus/17433-franciscusdehallewin,bibliography.bookReferences[].meta,INTERVAL,29.0,,2.0,,1,0,0
2987,GERVASIUS 2,/individus/2987-gervasius2,textualProduction.science.opus[].modernEdition[].meta,INTERVAL,20.0,,2.0,,1,0,0
57592,HIERONYMUS Masci (NICOLAS IV),/individus/57592-hieronymusmasci(nicolasiv),bibliography.otherBases[].meta,INTERVAL,28.0,,2.0,,1,0,0
57593,OCTAVIANUS,/individus/57593-octavianus,bibliography.otherBases[].meta,INTERVAL,28.0,,2.0,,1,0,0
17433,FRANCISCUS de Hallewin,/individus/17433-franciscusdehallewin,bibliography.bookReferences[].meta,INTERVAL,3.0,,1.0,,1,0,0
13207,DOMINICUS Chaillon,/individus/13207-dominicuschaillon,professionalCareer.universityFunction[].meta,INTERVAL,,10.0,,2.0,0,1,0
52501,THEODERICUS de Foro 2,/individus/52501-theodericusdeforo2,professionalCareer.universityFunction[].meta,INTERVAL,,19.0,,2.0,0,1,0
