reference,name,link,path,type,start_year,end_year,start_len,end_len,start_out_of_bounds,end_out_of_bounds,interval_inverted
53059,GUILLELMUS Guerini,/individus/53059-guillelmusguerini,identity.datesOfActivity[].meta,INTERVAL,1383.0,14021.0,4.0,5.0,0,1,0
2632,GALTERIUS de Marvis,/individus/2632-galteriusdemarvis,ecclesiasticalCareer.popFunctions[].meta,INTERVAL,12131.0,1233.0,5.0,4.0,1,0,1
22581,GALO 1,/individus/22581-galo1,identity.shortDescription[].meta,INTERVAL,1090.0,1116.0,4.0,4.0,1,0,0
23409,GUILLELMUS Peraldus,/individus/23409-guillelmusperaldus,identity.datesOfLife[].meta,INTERVAL,200.0,1271.0,3.0,4.0,1,0,0
23409,GUILLELMUS Peraldus,/individus/23409-guillelmusperaldus,textualProduction.religion.opus[].editionBefore1700[].meta,INTERVAL,1668.0,1669.0,4.0,4.0,1,1,0
23409,GUILLELMUS Peraldus,/individus/23409-guillelmusperaldus,textualProduction.religion.opus[].editionBefore1700[].meta,INTERVAL,1668.0,1669.0,4.0,4.0,1,1,0
23409,GUILLELMUS Peraldus,/individus/23409-guillelmusperaldus,textualProduction.religion.opus[].editionBefore1700[].meta,INTERVAL,1668.0,1669.0,4.0,4.0,1,1,0
23409,GUILLELMUS Peraldus,/individus/23409-guillelmusperaldus,textualProduction.religion.opus[].editionBefore1700[].meta,INTERVAL,1668.0,1669.0,4.0,4.0,1,1,0
23409,GUILLELMUS Peraldus,/individus/23409-guillelmusperaldus,textualProduction.religion.opus[].editionBefore1700[].meta,INTERVAL,1668.0,1669.0,4.0,4.0,1,1,0
23409,GUILLELMUS Peraldus,/individus/23409-guillelmusperaldus,textualProduction.religion.opus[].editionBefore1700[].meta,INTERVAL,1668.0,1669.0,4.0,4.0,1,1,0
23409,GUILLELMUS Peraldus,/individus/23409-guillelmusperaldus,textualProduction.religion.opus[].editionBefore1700[].meta,INTERVAL,1641.0,1643.0,4.0,4.0,1,1,0
23409,GUILLELMUS Peraldus,/individus/23409-guillelmusperaldus,textualProduction.religion.opus[].editionBefore1700[].meta,INTERVAL,1641.0,1643.0,4.0,4.0,1,1,0
2987,GERVASIUS 2,/individus/2987-gervasius2,textualProduction.science.opus[].modernEdition[].meta,INTERVAL,20.0,,2.0,,1,0,0
50570,GERVASIUS Tilleberiensis,/individus/50570-gervasiustilleberiensis,textualProduction.history.opus[].editionBefore1700[].meta,INTERVAL,1636.0,1649.0,4.0,4.0,1,1,0
2560,GALFREDUS Foullonis de Mitriaco,/individus/2560-galfredusfoullonisdemitriaco,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,364.0,1376.0,3.0,4.0,1,0,0
55355,GEORGIUS de Vico,/individus/55355-georgiusdevico,ecclesiasticalCareer.secularPosition[].meta,INTERVAL,14621.0,,5.0,,1,0,0
