issue,count,examples
textualProduction.medicineOpus:not_list,78,"[{""reference"": ""3141"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ religieux :', 'meta': {}, 'opus': [{'title': [{'value': '&Recepta pro restriccione emorroidarum&', 'meta': {'titles': ['Recepta pro restriccione emorroidarum']}}]""}, {""reference"": ""16804"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ médical :', 'meta': {}, 'opus': [{'title': [{'value': '&Tabula syruporum et electuariorum&', 'meta': {'titles': ['Tabula syruporum et electuariorum']}}], 'dateAnd""}, {""reference"": ""833"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ médical :', 'meta': {}, 'opus': [{'title': [{'value': '&Commentarius super primam fen primi canonis Avicenne&', 'meta': {'titles': ['Commentarius super primam fen""}, {""reference"": ""17157"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le domaine médical :', 'meta': {}, 'opus': [{'title': [{'value': '&(Consultation sur la gravelle)&', 'meta': {'titles': ['(Consultation sur la gravelle)']}}], 'dateAndPlac""}, {""reference"": ""3119"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ médical :', 'meta': {}, 'opus': [{'title': [{'value': '&Carmen de pulsibus&', 'meta': {'titles': ['Carmen de pulsibus']}}], 'dateAndPlace': [{'value': '?', 'meta'""}]"
textualProduction.discussedScience:not_list,35,"[{""reference"": ""16804"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres dans le champ scientifique dont on considère aujourd’hui qu’$Arnau de VILANOVA$ n’est pas l’auteur :', 'meta': {'names': ['Arnau de VILANOVA']}, 'opus': [{'title': [{'value': '&Novum""}, {""reference"": ""476"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&Commentum super librum Metheororum&', 'meta': {'titles': ['Commentum super librum Metheororum']}}]""}, {""reference"": ""385"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvre dans le champ scientifique dont l’authenticité n’est pas reconnue :', 'meta': {}, 'opus': [{'title': [{'value': '&Speculum astronomiae&', 'meta': {'titles': ['Speculum astronomiae']}}""}, {""reference"": ""487"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&Libellus de algorismo&', 'meta': {'titles': ['Libellus de algorismo']}}], 'dateAndPlace': [{'value""}, {""reference"": ""421"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ scientifique :', 'meta': {}, 'opus': [{'title': [{'value': '&Commentaria super tabulas Alphonsi Regis ad judicia astronomiae&', 'meta': {'titles': ['Commentaria s""}]"
textualProduction.discussedPhilosophy:not_list,30,"[{""reference"": ""482"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres incertaines dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Metaphysicae Distinctiones&', 'meta': {'titles': ['Metaphysicae Distinctiones']}, 'comment': [""}, {""reference"": ""421"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Expositio textus libri Priorum&', 'meta': {'titles': ['Expositio textus libri Priorum']}}], 'dateAnd""}, {""reference"": ""535"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvres attribuées sans fondements dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&De separatione primi principii&', 'meta': {'titles': ['De separatione primi pr""}, {""reference"": ""810"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Questiones de anima&', 'meta': {'titles': ['Questiones de anima']}, 'comment': [\""\\t/Oeuvre de $Jean ""}, {""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ philosophique :', 'meta': {}, 'opus': [{'title': [{'value': '&Quaestiones philosophicae&', 'meta': {'titles': ['Quaestiones philosophicae']}}], 'dateAndPlace':""}]"
textualProduction.music:not_list,29,"[{""reference"": ""172"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ musical :', 'meta': {}, 'opus': [{'title': [{'value': '&Tractatus de laude et utilitate musicae&', 'meta': {'titles': ['Tractatus de laude et utilitate musicae']}""}, {""reference"": ""117"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ musical :', 'meta': {}, 'opus': [{'title': [{'value': '&Li rondel&', 'meta': {'titles': ['Li rondel']}}], 'dateAndPlace': [{'value': '%1283%', 'meta': {'dates': [""}, {""reference"": ""50002"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ musical ;', 'meta': {}, 'opus': [{'title': [{'value': \""&(Hymnes de l'office de Saint DOMNIO)&\"", 'meta': {'titles': [\""(Hymnes de l'office de Saint DOMNIO)\""]}}], 'd""}, {""reference"": ""520"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ musical :', 'meta': {}, 'opus': [{'title': [{'value': '&Practica artis musicae&', 'meta': {'titles': ['Practica artis musicae']}}], 'dateAndPlace': [{'value': '%1""}, {""reference"": ""1132"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ musical :', 'meta': {}, 'opus': [{'title': [{'value': '&Tractatulus de differentiis et generibus cantorum a Magistro Arnulpho de Sancto Gilleno editus&', 'meta': ""}]"
textualProduction.discussedHistory:not_list,28,"[{""reference"": ""482"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres incertaines dans le champ politique :', 'meta': {}, 'opus': [{'title': [{'value': '&Tractatus de usura&', 'meta': {'titles': ['Tractatus de usura']}}], 'dateAndPlace': [{'value': '?'""}, {""reference"": ""476"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ historique :', 'meta': {}, 'opus': [{'title': [{'value': '&Mariale majus&', 'meta': {'titles': ['Mariale majus']}}], 'dateAndPlace': [{'value': '?', 'meta': {}""}, {""reference"": ""487"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ musical :', 'meta': {}, 'opus': [{'title': [{'value': '&Carmen de musica cum glossis&', 'meta': {'titles': ['Carmen de musica cum glossis']}}], 'dateAndPlace':""}, {""reference"": ""1101"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvre faussement attribuée dans le champ historique :', 'meta': {}, 'opus': [{'title': [{'value': '&De origine, de translatione ac statu romani imperii...&', 'meta': {'titles': ['De origine""}, {""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans les champs historique et politique :', 'meta': {}, 'opus': [{'title': [{'value': '&Questio in utramque partem&', 'meta': {'titles': ['Questio in utramque partem']}}], '""}]"
textualProduction.manyFields:not_list,13,"[{""reference"": ""58193"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvre écrite en latin :', 'meta': {}, 'opus': [{'title': [{'value': '&Sermons de Blaise de Ceva&', 'meta': {'titles': ['Sermons de Blaise de Ceva']}}], 'dateAndPlace': [{'value': '%1517%.'""}, {""reference"": ""50873"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvres écrites en latin.', 'meta': {}, 'opus': [{'title': [{'value': '&Opusculum de B. Mariae Laudibus&', 'meta': {'titles': ['Opusculum de B. Mariae Laudibus']}}], 'dateAndPlace': [{'valu""}, {""reference"": ""59896"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvre écrite en latin :', 'meta': {}, 'opus': [{'title': [{'value': '&Ad novitios liber de reformatione interna&', 'meta': {'titles': ['Ad novitios liber de reformatione interna']}}], 'dat""}, {""reference"": ""5262"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvre écrite en latin.', 'meta': {}, 'opus': [{'title': [{'value': '[Comptes rendus des délibérations des assemblées de la Nation=anglaise].', 'meta': {'institutions': ['Nation=anglaise].']""}, {""reference"": ""56556"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvres écrites en latin :', 'meta': {}, 'opus': [{'title': [{'value': '&Tractatus de Alchymia&', 'meta': {'titles': ['Tractatus de Alchymia']}}], 'dateAndPlace': [{'value': '?', 'meta': {}""}]"
textualProduction.discussedPhilosophyExtended:not_list,11,"[{""reference"": ""497"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvre refusée dans le champ philologique ou rhétoriue ;', 'meta': {}, 'opus': [{'title': [{'value': '&(Allegoriae poeticae seu de veritate ac expositione poeticarum fabularum libri quatuor""}, {""reference"": ""1044"", ""type"": ""dict"", ""preview"": ""{'value': \""Il n'est probablement pas l'auteur d'un traité qui lui est parfois attribué :\"", 'meta': {}, 'opus': [{'title': [{'value': '&Ars praedicandi&', 'meta': {'titles': ['Ars praedicandi']}}], 'da""}, {""reference"": ""2455"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvres d’attribution douteuses dans le domaine grammatical :', 'meta': {}, 'opus': [{'title': [{'value': '&Sententia super Barbarismo Prisciani&', 'meta': {'titles': ['Sententia super Barb""}, {""reference"": ""54530"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres attribuées de façon erronée ou incertaine à $Hugues de SAINT-VICTOR$ dans le champ rhétorique :', 'meta': {'names': ['Hugues de SAINT-VICTOR']}, 'opus': [{'title': [{'value': '&De mo""}, {""reference"": ""57717"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvres rejetées dans le domaine philologique :', 'meta': {}, 'opus': [{'title': [{'value': '&Commentum in Statii Thebaidem&', 'meta': {'titles': ['Commentum in Statii Thebaidem']}}], 'date""}]"
textualProduction.discussedJustice:not_list,9,"[{""reference"": ""476"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres rejetées dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&Concordia utriusque juris&', 'meta': {'titles': ['Concordia utriusque juris']}}], 'dateAndPlace': [{'""}, {""reference"": ""749"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvre attribuée à tort dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&Lectura super libros Institutionum Justiniani&', 'meta': {'titles': ['Lectura super libros Ins""}, {""reference"": ""50875"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&Tractatus de sponsalibus&', 'meta': {'titles': ['Tractatus de sponsalibus']}}], 'dateAndPlace': [{'value""}, {""reference"": ""2026"", ""type"": ""dict"", ""preview"": ""{'value': 'Attribution incertaine d’une ouvre dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&Liber aureus, sive Summa, de omni facultate&', 'meta': {'titles': ['Liber aureus, ""}, {""reference"": ""12498"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ juridique :', 'meta': {}, 'opus': [{'title': [{'value': '&[Commentaire sur les Décrétales]&', 'meta': {'titles': ['[Commentaire sur les Décrétales]']}}], 'dateAnd""}]"
textualProduction.discussedMedicine:not_list,6,"[{""reference"": ""134"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur non actif dans le champ médical :', 'meta': {}, 'opus': [{'title': [{'value': '&Glossae in Hippocratis Aphorismos&', 'meta': {'titles': ['Glossae in Hippocratis Aphorismos']}, 'refer""}, {""reference"": ""16804"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres dans le champ médical dont on considère aujourd’hui qu’$Arnau de VILANOVA$ n’est pas l’auteur :', 'meta': {'names': ['Arnau de VILANOVA']}, 'opus': [{'title': [{'value': '&Tractatus ""}, {""reference"": ""1192"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ médical :', 'meta': {}, 'opus': [{'title': [{'value': '&Notule in Ysagogas Johannicii&', 'meta': {'titles': ['Notule in Ysagogas Johannicii']}}], 'dateAndPlace': ""}, {""reference"": ""3155"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ médical :', 'meta': {}, 'opus': [{'title': [{'value': '&Summa de modo medendi&', 'meta': {'titles': ['Summa de modo medendi']}}], 'titleVariant': [{'value': '&Ger""}, {""reference"": ""8958"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ médical :', 'meta': {}, 'opus': [{'title': [{'value': '&De regimine sterilitatis&', 'meta': {'titles': ['De regimine sterilitatis']}}], 'dateAndPlace': [{'value':""}]"
textualProduction.discussedLitterature:not_list,5,"[{""reference"": ""2667"", ""type"": ""dict"", ""preview"": ""{'value': 'Oeuvre refusée dans le champ littéraire :', 'meta': {}, 'opus': [{'title': [{'value': '&De vino et vitibus conservandis&', 'meta': {'titles': ['De vino et vitibus conservandis']}}], 'dateAn""}, {""reference"": ""17753"", ""type"": ""dict"", ""preview"": ""{'value': 'Auteur actif dans le champ littéraire :', 'meta': {}, 'opus': [{'title': [{'value': '&Le monologue du puys faict par Coquillart&', 'meta': {'titles': ['Le monologue du puys faict par Coquil""}, {""reference"": ""53672"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvres du champ littéraire dont l’attribution est rejettée :', 'meta': {}, 'opus': [{'title': [{'value': \""&Le lai d'Aristote&\"", 'meta': {'titles': [\""Le lai d'Aristote\""]}}], 'dateAndPlace': ""}, {""reference"": ""18181"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvre du champ littéraire dont l’attribution est rejettée :', 'meta': {}, 'opus': [{'title': [{'value': '&Libellus de obitu Iulii P. M.&', 'meta': {'titles': ['Libellus de obitu Iulii P. M.""}, {""reference"": ""11321"", ""type"": ""dict"", ""preview"": ""{'value': 'Œuvre du champ littéraire dont l’attribution n’est pas retenue :', 'meta': {}, 'opus': [{'title': [{'value': '&Poissance d’amours&', 'meta': {'titles': ['Poissance d’amours']}}], 'dateAndPl""}]"
